,yrs,sit,sia,sig,sic,sat,slp,u10,v10
0,1988.0,0.7725366965608633,-1.1575805469379964e-08,1.4024877357368298e-08,0.5800608301461786,-10.538302112557378,1010.3047785381084,-1.2626712229983268,-1.7926562650944142
1,1989.0,0.8911106855245049,9.695653079382376e-09,5.22266395357079e-09,0.6064883027727408,-11.076770384196362,997.4243327827221,-1.1936190383639829,-2.804817137312583
2,1990.0,0.5117532399575138,5.442574832442563e-10,-4.447277872886287e-09,0.5290810677459513,-6.200405375351876,995.9526271574066,-2.223305608392331,-1.6232659808785441
3,1991.0,0.4739991952678068,4.2314015355970466e-09,9.67898034571861e-09,0.527133063185706,-6.741670016389228,1009.2584475094799,0.28879653955721635,-0.7159599596497906
4,1992.0,0.5871153626234218,3.095226485946259e-08,-8.881348779988328e-09,0.5518145845886073,-8.649472012848863,999.7441015549036,0.1681197026611441,-2.290169520987579
5,1993.0,0.5916887315046055,5.136733287930845e-08,-2.1254603957555778e-08,0.5346008107591329,-10.580811113629276,998.2403438351572,0.038008333795239525,-2.87792232442772
6,1994.0,0.5285531620022854,1.8130011975281816e-08,-2.1560621498688353e-08,0.5275308707481918,-8.8021945624266,1006.0637320053966,-1.4645653021247063,-2.3555826927573467
7,1995.0,0.5892044818419038,3.2235836652651637e-08,-3.69342443885894e-08,0.5323934265499315,-8.894572947932982,1000.0136819306175,-2.172233171989002,-4.148053327185033
8,1996.0,0.5676599093755662,1.058644738451601e-08,5.6718393565101e-09,0.5534550711132067,-7.645965425392937,1011.2660661597131,1.226300971610748,-0.18081473892479488
9,1997.0,0.5975645757473719,8.89437389022873e-09,1.765100073044899e-10,0.6114115048163994,-10.704405415471692,1002.3537050351285,-1.0295697941346276,-2.169610680112501
10,1998.0,0.595023742546677,9.02265660904892e-09,-1.883964419014129e-08,0.5914542609046178,-10.315513539997012,1008.5031270427695,-2.702530429988909,-2.091064114113042
11,1999.0,0.40297234999186426,1.1204420021723776e-09,-9.567249507051734e-09,0.5289119115874323,-7.226778210037816,1007.2798043181311,-2.8266153469751747,-1.5978363505842637
12,2000.0,0.43653819851192116,1.7517375195748154e-08,-1.9556876709617526e-08,0.5408629174487674,-7.924940761033894,1000.2430274436232,-1.1676565376001034,-3.458837264378845
13,2001.0,0.49498869367821435,1.6819693341859042e-08,1.3479478409322468e-08,0.5835070038794857,-9.279370330702147,1011.3060348665502,-0.6401794285688389,-1.7978236415342455
14,2002.0,0.6043191207557678,2.7214352900341374e-08,-1.4370229110343587e-08,0.5644756902360528,-9.567949032368102,1001.6261765288666,-0.9736165786179427,-3.2624322693695658
15,2003.0,0.5272193618714686,3.829058754814127e-08,8.56154858209451e-09,0.5552903337952216,-9.981203756439042,1005.7267838551171,0.09735187830652832,-2.5562539241550284
16,2004.0,0.6398216381512194,2.0540857844640657e-08,-1.3702252090506063e-08,0.5680692331456301,-8.703969279840818,1009.3901577648666,-1.3039410436238914,-1.9859099733177326
17,2005.0,0.4157173861164438,2.440525044651791e-08,-6.924275274324725e-09,0.5410374033260904,-6.222846484244993,1006.6176901342246,-0.12457928922204879,-1.7725408881154217
18,2006.0,0.33526140140139177,1.300450206184102e-08,-3.4568210902230875e-09,0.5237740591216633,-6.517257134513296,1010.6458007237212,-0.08942952199779072,-1.7010202648752761
19,2007.0,0.38091539243707667,1.5149722830480978e-08,-6.391942026974255e-09,0.5374751474440134,-6.684977663150129,1003.8546183572132,-0.7515354210895476,-2.0852935711942098
20,2008.0,0.3983015551544942,1.5057185650971005e-08,-6.276390139402506e-09,0.5366482168855494,-7.225920015113705,1003.6321479106621,-0.8011710360847994,-2.4353647660912334
21,2009.0,0.5043089113140219,8.41594461360992e-09,-3.299613524923921e-09,0.5699636039956401,-8.056567469288085,1008.2563401729251,-1.020941527377343,-2.3648833746126394
22,2010.0,0.42504524181859,1.2259470210819195e-08,7.405837371094866e-09,0.5569106691000181,-8.089394157685003,1014.5693883542642,-0.8462321862542765,-2.2370031242341404
23,2011.0,0.44869949406437243,1.2679765324905741e-08,9.80748910549242e-10,0.5539528415146111,-7.816521560459165,1004.5014599295105,-0.09994336634964764,-1.6479377441898841
24,2012.0,0.35748729649344213,1.2170232751224386e-08,1.5407006291796683e-10,0.5328112559187849,-4.439072990845756,1004.6738406996923,0.21963991126240134,0.042752023533133225
25,2013.0,0.36766210072168903,1.486893730409316e-08,7.653159108676192e-09,0.5569482063756449,-7.8623814082077,1015.1704297771993,-0.9726870299882554,-2.8553828293283035
26,2014.0,0.30321020311512265,1.3570782597447198e-08,-4.789219830193349e-09,0.5319986477776953,-4.539962991691572,1007.3290639634625,-1.5397337689697361,-1.130924893250894
27,2015.0,0.4610363476106799,2.8686374170818735e-08,-2.544733505535447e-08,0.5463031201227592,-6.319521771931874,999.3374948364611,-0.628134255330262,-1.3607194034556205
28,2016.0,0.31184356384196704,2.1908405230413926e-08,-1.5778151634258495e-08,0.5213258259961041,-4.668657463502506,1005.7210144622836,-0.8440513457634918,-1.7276564179798533
